Nome,Origem,Tipo,Característica Única,Avaliação de Amizade (1-10),Expectativa de Vida,Tamanho,Necessidade de Cuidados,Exigências de Exercício (hrs/dia),Bom com Crianças,Avaliação de Inteligência (1-10),Nível de Queda de Pelo,Risco de Problemas de Saúde,Peso Médio (kg),Dificuldade de Treinamento (1-10)
Affenpinscher,Germany,Toy,Monkey-like face,7,14,Pequeno,Alta,1.5,Sim,8,Moderado,Baixo,4,6
Afghan Hound,Afghanistan,Hound,Long silky coat,5,13,Grande,Muito Alta,2.0,Não,4,Alto,Moderado,25,8
Airedale Terrier,England,Terrier,Largest of terriers,8,12,Médio,Alta,2.0,Sim,7,Moderado,Baixo,21,6
Akita,Japan,Working,Strong loyalty,6,11,Grande,Moderada,2.0,Com Treinamento,7,Alto,Alto,45,9
Alaskan Malamute,Alaska USA,Working,Strong pulling ability,7,11,Grande,Alta,3.0,Sim,6,Muito Alto,Moderado,36,8
American Bulldog,USA,Working,Muscular build,8,11,Grande,Baixa,2.0,Sim,6,Moderado,Moderado,42,7
American Eskimo,USA,Non-Sporting,Pure white coat,9,14,Pequeno-Médio,Alta,2.0,Sim,9,Alto,Baixo,12,5
American Foxhound,USA,Hound,Musical voice,8,12,Médio,Baixa,2.5,Sim,6,Moderado,Baixo,31,6
Australian Cattle Dog,Australia,Herding,Unique blue or red coat,7,14,Médio,Moderada,2.5,Sim,9,Moderado,Baixo,15,7
Australian Shepherd,USA,Herding,Merle coloring,8,14,Médio,Alta,2.5,Sim,9,Alto,Moderado,25,7
Australian Terrier,Australia,Terrier,Small but tough,7,13,Pequeno,Moderada,1.5,Sim,7,Baixo,Baixo,6.5,6
Basenji,Central Africa,Hound,Doesn't bark,6,13,Pequeno-Médio,Baixa,2.0,Não,6,Baixo,Baixo,10,9
Basset Hound,France,Hound,Short legs long body,8,11,Médio,Baixa,1.0,Sim,5,Moderado,Alto,24,7
Beagle,England,Hound,Excellent sense of smell,9,13,Pequeno-Médio,Baixa,2.0,Sim,7,Moderado,Moderado,10,7
Bearded Collie,Scotland,Herding,Long shaggy coat,8,13,Médio,Muito Alta,2.0,Sim,8,Alto,Baixo,22,6
Bernese Mountain Dog,Switzerland,Working,Tri-colored coat,9,8,Grande,Alta,1.5,Sim,7,Alto,Alto,43,5
Bichon Frise,Mediterranean,Non-Sporting,Cotton-like coat,9,13,Pequeno,Muito Alta,1.0,Sim,8,Baixo,Baixo,4,5
Black Russian Terrier,Russia,Working,Black protective coat,7,11,Grande,Alta,2.0,Sim,8,Moderado,Moderado,50,8
